id,warehouseid,name,salesprice,costprice,datesold
1,1,"SAMSUNG 65"" Class 4K Crystal UHD",20,15,
2,1,"Philips 65"" Class 4K Ultra HD",10,5,
3,1,Apple iPhone 13,25,10,
4,2,Apple iPhone 13 Pro,30,20,
5,2,Win's Gold Plate ,10,7,
6,2,Apple iPhone 13,25,10,
7,2,Win's Gold Plate ,10,7,
8,2,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,2,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,2,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,2,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,2,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,fa733ecf-f5e6-4cf4-99c5-cb72f007707e,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,e5483c9a-2c47-4445-b47b-05713012acaa,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,02bc6ba8-1e1f-4f96-bf92-4ba3088d6ec8,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,2bfc9ca7-ab85-4eab-85d3-9dd126fcaee8,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,35c16463-ac72-40c1-af3a-562639a35dde,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,158489b5-d7e7-4479-b347-04b9d5460ee8,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,3844d84e-676f-4a6e-a610-e8861a253da8,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,6e5db16b-66b2-4b2a-9027-eedbbde6f4df,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,7a0ea187-d28b-4031-b4ca-ebe45143a151,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,07512fd7-fb85-49df-a310-a51f217d7366,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,6e4e4f68-df54-4ca2-9a81-3ee6c0ab404e,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,a461f441-5cb7-4c1f-ba0c-69688dadb1bb,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,bc9c90c2-1cc5-46cf-abec-92216f997f55,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
8,0ed73315-5438-43e9-8abd-694ad583839a,Logitech S150 USB Speakers with Digital Sound,500.0,350.5,
